,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2429,2020-01-23,8680.93,8290.98,8667.26,38348.08,323273085.37,8394.28,direct,,831725744.44,1993654427.19,2825380171.63,1613027384.7,2738897850.11,4351925234.8,6164029769.07,14464723116.55,20628752885.62,9235341694.77
2430,2020-01-24,8517.5,8225.83,8394.28,27811.03,233502998.73,8431.78,direct,,801013029.12,1694416275.77,2495429304.89,1671120785.35,2287511559.59,3958632344.95,6218901160.63,12291038758.58,18509939834.89,9155478412.63
2431,2020-01-25,8444.32,8263.42,8431.78,14296.82,119345600.29,8345.88,direct,,531425160.88,970033453.44,1501458614.32,1043741761.83,1310006797.8,2353748559.63,4401771010.03,8629898391.9,13031669401.93,5630177134.55
2432,2020-01-26,8605.33,8302.57,8345.88,22444.54,189985702.21,8602.37,direct,,626614867.82,1154451817.79,1781066685.62,1360368985.1,1575501527.29,2935870512.39,5271285534.0,9759049573.55,15030335107.56,7026985206.87
2433,2020-01-27,8991.01,8572.37,8602.37,37524.75,329416202.64,8898.94,direct,,928107917.14,1957320607.15,2885428524.29,2019639972.96,2702550412.87,4722190296.84,7384157894.74,14531117035.48,21915274841.24,11236930919.49
2434,2020-01-28,9407.39,8892.58,8898.94,51850.54,471220882.55,9391.97,direct,,1064943362.66,3045277711.12,4110221073.78,2276533320.58,4044957213.44,6321490534.02,8070976928.18,20243904924.87,28314881853.05,13442481718.42
2435,2020-01-29,9429.16,9234.27,9391.97,36978.22,345265419.21,9286.18,direct,,981375202.99,2162781873.53,3144156983.66,1975105111.29,2999256173.83,4974361285.12,7553329595.25,16194587180.1,23747916775.35,11775668258.29
2436,2020-01-30,9561.26,9181.72,9286.18,45852.79,430815723.66,9501.38,direct,,1141625772.08,2351439432.91,3493065109.97,2408003333.36,3176936999.87,5584940333.24,8580878704.5,16970821002.0,25551699801.5,13118548144.95
2437,2020-01-31,9518.87,9208.36,9501.38,31334.26,292627757.98,9342.23,direct,,963906254.22,1875092716.38,2838998970.6,2111228883.73,2621348554.02,4732577437.75,7696163733.67,15121218848.84,22817382582.51,11035665576.43
2438,2020-02-01,9455.92,9296.57,9342.23,14778.25,138614091.6,9384.45,direct,,764978790.89,1072872460.18,1837851251.07,1721226186.38,1558906733.13,3280132919.51,6665078133.43,11591145984.67,18256224211.94,8250400310.27
2439,2020-02-02,9469.84,9169.21,9384.45,24059.37,225322638.39,9334.25,direct,,940514456.22,1636948355.93,2577462812.14,2152691524.3,2391751374.42,4544442898.72,7750122111.29,15736037271.89,23486159383.18,10564456078.61
2440,2020-02-03,9605.66,9230.83,9334.25,33363.87,312315107.48,9288.96,direct,,875641742.09,1719586858.87,2595228600.96,1863974267.33,2559734091.46,4423708451.67,11190317501.07,15384452093.03,26574769594.1,9991363659.88
2441,2020-02-04,9347.12,9089.52,9288.96,26614.92,244997961.95,9171.98,direct,,990680510.13,1777911461.81,2768591971.94,1943528253.71,2542444606.3,4485972860.01,191951564961.24,15528607347.91,207480172309.15,10076335210.16
2442,2020-02-05,9750.28,9162.98,9171.98,47150.99,448381299.88,9611.42,direct,,1217589006.62,2520290693.56,3737879700.17,2674672397.25,3474103409.12,6148775806.37,9353033408.83,19154165923.53,28507199332.36,14057324858.36
2443,2020-02-06,9853.08,9533.37,9611.42,42264.62,410313693.85,9755.84,direct,,1396429669.87,2489506470.42,3885936237.84,2842554710.67,3367373538.02,6209928248.69,10236641940.64,19585759702.78,29822401740.98,14726980855.98
2444,2020-02-07,9866.18,9714.16,9755.84,25549.21,249852208.28,9808.36,direct,,1411312365.7,1921033610.51,3332345976.21,2468854939.33,2608056067.2,5076911006.53,9202224243.81,15958006827.89,25160231071.69,12801901485.58
2445,2020-02-08,9936.26,9665.26,9808.36,24889.03,244352034.45,9898.25,direct,,1499710285.83,1908926904.77,3408637190.6,2624090314.64,2740147394.88,5364237709.52,9596497592.5,16326067638.73,25922565231.23,13345860164.22
2446,2020-02-09,10162.71,9880.67,9898.25,33829.57,340301629.71,10157.78,direct,,1506641443.36,2185284959.88,3691926403.24,2496663884.29,3166959534.04,5663623418.32,9028938188.69,17302189553.21,26331127741.9,13321938932.51
2447,2020-02-10,10185.09,9761.16,10157.78,40941.28,406256357.82,9858.03,direct,,1611803677.85,2545017735.27,4156821413.12,2572513949.71,3559872744.0,6132386693.71,9850669009.0,19521615681.59,29372284690.59,14273333001.51
2448,2020-02-11,10370.44,9716.32,9858.03,49240.73,495614708.0,10269.43,direct,,1630005418.1,2870087665.0,4500093083.1,2952661173.5,4046394492.33,6999055665.83,10453072157.73,19066169926.19,29519242083.91,15567369887.78
2449,2020-02-12,10475.43,10250.55,10269.43,43484.9,449510878.91,10347.93,direct,,2138089089.64,2503799009.03,4641887995.19,3951774712.95,3487130407.91,7438905120.86,13772860345.91,20892759584.21,34665619930.11,19060632190.48
2450,2020-02-13,10500.54,10081.02,10347.93,49389.81,507955951.95,10233.32,direct,,2506409101.98,3353685632.04,5860094734.02,4083259538.79,4650201635.43,8733461174.22,15121634106.85,24569877333.09,39691511439.94,21949873364.78
2451,2020-02-14,10387.37,10103.67,10233.32,28984.69,297409586.88,10360.37,direct,,2021713795.49,2369215835.03,4390929526.91,3367222921.27,3306972293.14,6674195214.4,12712647873.32,20433899791.67,33146547665.0,16504426946.37
2452,2020-02-15,10388.6,9789.89,10360.37,29878.88,300819428.52,9905.43,direct,,2296797808.22,2394220981.06,4691018789.28,3794478419.03,3125109675.68,6919588094.71,14160768950.48,20031417672.23,34192186622.71,18107490163.61
2453,2020-02-16,10042.6,9634.4,9905.43,27579.54,272176494.52,9925.51,direct,,2366771209.21,2294473695.12,4661244904.33,3999582914.07,3090913490.89,7090496404.95,14775106841.12,20097339992.1,34872446733.97,19852468727.44
2454,2020-02-17,9958.46,9482.71,9925.51,37157.31,359702988.14,9702.48,direct,,2222599001.87,2800911441.28,5023510443.14,3805717637.52,4007486821.68,7813204459.19,13820009536.12,22069887691.18,35889897324.33,20463803770.5
2455,2020-02-18,10274.35,9618.77,9702.48,38551.14,382869718.91,10182.6,direct,,1917562284.63,2805533168.33,4723095452.96,24037164900.07,4167164492.32,28204329290.56,54281512422.86,22800077669.47,77081590092.33,39493305539.75
2456,2020-02-19,10300.04,9340.17,10182.6,47506.68,473100344.44,9602.43,direct,,1474364592.1,2464715051.12,3939079643.21,2483653059.59,3858986446.75,6342639506.34,10708163353.93,20565454809.41,31273618259.36,15165744545.63
2457,2020-02-20,9698.59,9402.81,9602.43,36843.12,352949373.64,9608.8,direct,,1396673575.59,1894378667.43,3291052243.02,2739897240.3,3679282258.62,6419179498.92,11825149184.78,21802049052.63,33627198237.41,15650832177.16
2458,2020-02-21,9766.16,9582.07,9608.8,30286.18,293546157.49,9697.86,direct,,1683164848.66,1967931258.04,3651096106.7,2539789623.63,2999230977.98,5539020601.61,11254743582.8,19480409277.85,30735152860.65,12992485466.09
2459,2020-02-22,9720.21,9577.84,9697.86,12206.36,118171544.81,9671.46,direct,,1351107991.16,1350542307.46,2701650201.91,1792921948.03,2393447658.37,4186369606.4,8936222554.33,16990514632.86,25926737187.19,9804209686.24
2460,2020-02-23,10011.4,9669.88,9671.46,23058.71,228093371.59,9977.39,direct,,1460571464.38,1999689855.41,3460261419.57,2093860253.64,3776354613.29,5870214866.93,10118724817.82,21725165287.93,31843890105.75,12060032873.61
2461,2020-02-24,10019.3,9495.76,9977.39,34044.18,331102536.15,9664.21,direct,,1491212053.45,2631531911.25,4122743964.71,1886160193.3,4917511489.45,6803671682.75,9770507902.14,23090167064.37,32860674869.86,13895422738.34
2462,2020-02-25,9682.05,9258.4,9664.21,34827.75,329372824.71,9316.18,direct,,1548018950.58,2417722736.24,3965741686.82,2297969391.02,4381075250.94,6679044641.96,10541435888.52,22633445131.02,33174881019.55,14832681923.37
2463,2020-02-26,9379.07,8652.97,9316.18,65447.95,588359496.49,8793.5,direct,,1947238795.45,3652550115.42,5599788998.81,3062756440.5,6191795909.75,9254552438.18,12377077946.43,28459785860.59,40836863807.02,20984692589.61
2464,2020-02-27,8978.84,8540.74,8793.5,47005.39,413657559.37,8821.5,direct,,1659903105.05,2977528834.35,4637431939.4,2581236531.96,5208209630.33,7789446162.29,11022511445.03,25922994604.31,36945506049.33,18059842515.93
2465,2020-02-28,8908.8,8449.12,8821.5,41600.5,360795192.37,8719.29,direct,,1364850518.07,2889983384.56,4254833902.63,2268960673.6,5091811977.43,7360772563.84,9415525480.89,24583400251.74,33998925819.82,16198202403.87
2466,2020-02-29,8815.63,8545.32,8719.29,16806.37,146455562.43,8545.45,direct,,1285959992.34,2000197590.61,3286157582.95,2243238904.97,3122491620.92,5365730611.34,8602338769.74,16885584027.39,25487922882.59,11415775218.69
2467,2020-03-01,8776.71,8443.57,8545.45,25550.31,219324311.08,8549.38,direct,,1250104279.09,2124618392.93,3374722757.52,2059851282.33,3728813625.89,5788664908.22,8774538438.04,18775699599.04,27550238037.08,12047949760.15
2468,2020-03-02,8983.78,8521.79,8549.38,33004.6,290280969.41,8919.74,direct,,1368987602.01,2812949365.01,4181936877.83,2245573177.37,5326018676.78,7571591854.14,10590138371.84,24471561794.56,35061700166.4,14572370209.63
2469,2020-03-03,8940.69,8680.57,8919.74,28648.83,252211805.89,8765.68,direct,,1344556172.16,2749629196.53,4094185368.69,2235039952.13,5027209957.92,7262249910.05,10930543232.9,22582119833.81,33512663066.71,13674213520.17
2470,2020-03-04,8863.91,8690.82,8765.68,22115.34,194233894.05,8773.78,direct,,1353249577.74,2070093374.13,3423342951.86,2046662643.69,3715245208.66,5761907852.34,9462550508.0,17785375588.08,27247926096.08,11296011526.01
2471,2020-03-05,9179.74,8772.83,8773.78,33760.74,305196274.33,9074.82,direct,,1412319953.74,2776647358.91,4188967221.9,2204840682.01,5375213172.59,7580053854.59,9041600986.15,21967859080.73,31009460066.88,14269859609.1
2472,2020-03-06,9183.26,9015.35,9074.82,21090.1,192168163.64,9160.39,direct,,1294554284.34,2754038276.1,4048592560.44,2202385025.28,5454379628.47,7656764653.74,9113561903.11,22326074694.65,31439636506.15,13535302217.37
2473,2020-03-07,9225.42,8880.33,9160.39,20669.17,187063951.77,8903.72,direct,,1316619520.45,2293516357.78,3610135878.22,2193582518.13,3972333153.29,6165915582.39,9100768405.39,18467175913.58,27567944318.97,11999534629.32
2474,2020-03-08,8920.28,8033.06,8903.72,63231.33,533371350.28,8057.67,direct,,1427399480.55,3716985282.97,5144384682.94,2360712225.32,6067054696.03,8427766921.35,9625020250.02,23998961266.09,33623981516.1,16641801889.8
2475,2020-03-09,8200.82,7664.34,8057.67,86700.45,682781069.24,7944.4,direct,,1440595390.68,4950452204.45,6391047595.13,2448793137.05,8483169188.11,10931962245.72,9790761737.87,31592439074.76,41383200892.07,20836565249.48
2476,2020-03-10,8165.09,7758.12,7944.4,53646.28,427332546.47,7894.66,direct,,1069278565.94,3883034231.08,4952312797.02,1978029720.67,6675528392.65,8653558113.32,8051314843.63,25823040969.08,33874355812.71,15305646786.75
2477,2020-03-11,7998.79,7614.48,7894.66,47596.23,372704355.27,7945.36,direct,,1074593254.74,3412647883.9,4487241138.64,1962346363.51,5992647862.21,7954994225.72,7805730388.61,23802802607.62,31608532996.23,14315407138.82
2478,2020-03-12,7984.16,4736.21,7945.36,286243.45,1769476928.68,4916.78,direct,,1824528310.12,6622471212.55,8446999522.68,2442698883.31,7824964704.58,10267663587.89,9006678802.63,31119995188.23,40126673990.85,20660512672.18
2479,2020-03-13,5984.55,3948.92,4916.78,319316.54,1663092005.9,5632.58,direct,,2567272511.68,8396086867.52,10963359379.2,3880704327.16,12264281516.13,16144985843.3,13998411295.07,48550433699.78,62548844994.85,31371581545.32
2480,2020-03-14,5665.57,5069.29,5632.58,87978.27,474539626.45,5181.77,direct,,937594231.03,3738369053.04,4675963284.07,1558834615.44,5747348018.34,7306182685.6,6634050065.31,22114305171.12,28748355236.43,14008504539.73
2481,2020-03-15,5961.78,5114.06,5181.77,105160.64,568696762.62,5357.02,direct,,776170163.71,3855356438.94,4631526602.65,1402087487.58,5533074498.11,6935161985.69,6361622603.44,21870229734.8,28231852338.24,12762241419.69
2482,2020-03-16,5364.93,4454.22,5357.02,203116.86,996661883.31,5045.0,direct,,1038433589.45,6050753996.55,7089187586.0,1793192933.35,8675630365.35,10468823298.7,7600909654.85,30745857012.5,38346766667.35,18635766465.4
2483,2020-03-17,5561.43,4950.9,5045.0,116314.49,618671971.75,5337.66,direct,,765279743.28,4204194127.84,4969473924.5,1419458442.24,6533601474.41,7953059916.65,6001346245.7,25039304616.86,31040650915.94,13931201379.39
2484,2020-03-18,5451.02,5024.71,5337.66,109210.96,576456805.62,5413.06,direct,,753342543.05,3604827523.52,4358170066.57,1275881734.68,5842246046.05,7118127780.73,5944685283.5,24436438154.67,30381123438.16,12474614429.14
2485,2020-03-19,6418.99,5268.33,5413.06,147007.71,868668216.67,6184.88,direct,,1138565467.43,5191593405.45,6330158811.03,1892691349.36,8175106597.72,10067797947.07,8197981871.19,32729840814.26,40927822685.44,18541539805.67
2486,2020-03-20,6932.04,5691.69,6184.88,148232.44,947038097.64,6206.44,direct,,1200419089.12,5637613071.04,6838032160.16,1912925104.07,8699007189.18,10611932293.25,7854815785.26,34653404020.73,42508219743.93,20536877963.27
2487,2020-03-21,6459.65,5876.79,6206.44,67262.29,415771088.67,6195.43,direct,,809419175.65,3411173152.58,4220592266.27,1365737564.68,5711626331.17,7077363895.85,6447890241.1,25987311337.02,32435201578.12,13503229816.99
2488,2020-03-22,6415.14,5750.68,6195.43,75451.24,457211401.95,5828.15,direct,,732756922.4,3036146242.85,3768903165.25,1253769112.45,5158264420.57,6412033533.02,6421509288.98,23067641048.77,29489150337.75,12363080100.19
2489,2020-03-23,6614.56,5703.64,5828.15,107692.99,667919370.22,6503.53,direct,,780598414.89,4470361852.62,5250960267.51,1204433725.13,7044230427.54,8248664217.7,6712528545.68,29729400948.18,36441929493.86,14914025391.78
2490,2020-03-24,6857.49,6406.64,6503.53,105151.69,700444488.16,6767.18,direct,,761274590.82,4320927463.3,5082202054.12,1137353243.09,7023680889.88,8161034132.97,6718314937.61,30083057808.22,36801372745.83,14189646949.99
2491,2020-03-25,6980.29,6483.0,6767.18,84721.04,566264216.07,6694.21,direct,,686081884.56,3222077574.54,3908159459.1,1013748402.09,6068945749.65,7082694218.68,6183636243.8,26349426138.6,32533062315.46,12423369632.69
2492,2020-03-26,6796.12,6539.61,6694.21,45203.7,302121295.09,6757.95,direct,,740357548.38,2716522085.53,3456879633.91,1046223852.13,4262833967.34,5309057819.47,5810226918.41,20384475749.27,26194702667.69,9798363058.36
2493,2020-03-27,6876.97,6312.53,6757.95,57134.12,381303011.52,6382.8,direct,,760050930.74,2803158722.12,3563209652.87,1026592573.75,4428308578.36,5454901152.11,5869182402.97,19527416025.55,25396598428.52,9787291948.15
